timestamp,city,road_type,hour_of_day,day_of_week,vehicle_count,traffic_density,average_speed,congestion_level
2024-01-01 00:00:00,Aurangabad,highway,0,Monday,205,6.83,98.5,low
2024-01-01 00:00:00,Aurangabad,arterial,0,Monday,205,10.25,60.6,low
2024-01-01 00:00:00,Aurangabad,commercial,0,Monday,135,11.25,36.2,low
2024-01-01 00:00:00,Aurangabad,residential,0,Monday,47,5.88,49.8,low
2024-01-01 00:00:00,Mumbai,highway,0,Monday,214,7.13,99.7,low
2024-01-01 00:00:00,Mumbai,arterial,0,Monday,197,9.85,56.8,low
2024-01-01 00:00:00,Mumbai,commercial,0,Monday,148,12.33,32.5,low
2024-01-01 00:00:00,Mumbai,residential,0,Monday,41,5.12,47.3,low
2024-01-01 00:00:00,Nagpur,highway,0,Monday,175,5.83,99.9,low
2024-01-01 00:00:00,Nagpur,arterial,0,Monday,176,8.8,55.4,low
2024-01-01 00:00:00,Nagpur,commercial,0,Monday,159,13.25,35.6,low
2024-01-01 00:00:00,Nagpur,residential,0,Monday,41,5.12,45.6,low
2024-01-01 00:00:00,Nashik,highway,0,Monday,214,7.13,98.9,low
2024-01-01 00:00:00,Nashik,arterial,0,Monday,194,9.7,58.6,low
2024-01-01 00:00:00,Nashik,commercial,0,Monday,145,12.08,35.8,low
2024-01-01 00:00:00,Nashik,residential,0,Monday,46,5.75,50.0,low
2024-01-01 00:00:00,Pune,highway,0,Monday,306,10.2,95.0,low
2024-01-01 00:00:00,Pune,arterial,0,Monday,309,15.45,52.8,low
2024-01-01 00:00:00,Pune,commercial,0,Monday,197,16.42,31.2,low
2024-01-01 00:00:00,Pune,residential,0,Monday,61,7.62,48.1,low
2024-01-01 00:00:00,Thane,highway,0,Monday,266,8.87,98.1,low
2024-01-01 00:00:00,Thane,arterial,0,Monday,215,10.75,56.8,low
2024-01-01 00:00:00,Thane,commercial,0,Monday,129,10.75,35.3,low
2024-01-01 00:00:00,Thane,residential,0,Monday,50,6.25,50.0,low
2024-01-01 01:00:00,Aurangabad,highway,1,Monday,141,4.7,96.3,low
2024-01-01 01:00:00,Aurangabad,arterial,1,Monday,139,6.95,58.3,low
2024-01-01 01:00:00,Aurangabad,commercial,1,Monday,90,7.5,39.0,low
2024-01-01 01:00:00,Aurangabad,residential,1,Monday,31,3.88,50.0,low
2024-01-01 01:00:00,Mumbai,highway,1,Monday,144,4.8,99.2,low
2024-01-01 01:00:00,Mumbai,arterial,1,Monday,149,7.45,60.8,low
2024-01-01 01:00:00,Mumbai,commercial,1,Monday,96,8.0,37.2,low
2024-01-01 01:00:00,Mumbai,residential,1,Monday,31,3.88,46.4,low
2024-01-01 01:00:00,Nagpur,highway,1,Monday,148,4.93,102.2,low
2024-01-01 01:00:00,Nagpur,arterial,1,Monday,134,6.7,61.2,low
2024-01-01 01:00:00,Nagpur,commercial,1,Monday,100,8.33,36.2,low
2024-01-01 01:00:00,Nagpur,residential,1,Monday,30,3.75,50.0,low
2024-01-01 01:00:00,Nashik,highway,1,Monday,158,5.27,102.2,low
2024-01-01 01:00:00,Nashik,arterial,1,Monday,113,5.65,61.3,low
2024-01-01 01:00:00,Nashik,commercial,1,Monday,109,9.08,36.7,low
2024-01-01 01:00:00,Nashik,residential,1,Monday,34,4.25,44.7,low
2024-01-01 01:00:00,Pune,highway,1,Monday,210,7.0,99.4,low
2024-01-01 01:00:00,Pune,arterial,1,Monday,229,11.45,56.0,low
2024-01-01 01:00:00,Pune,commercial,1,Monday,124,10.33,35.9,low
2024-01-01 01:00:00,Pune,residential,1,Monday,53,6.62,48.7,low
2024-01-01 01:00:00,Thane,highway,1,Monday,164,5.47,100.5,low
2024-01-01 01:00:00,Thane,arterial,1,Monday,153,7.65,60.7,low
2024-01-01 01:00:00,Thane,commercial,1,Monday,98,8.17,36.9,low
2024-01-01 01:00:00,Thane,residential,1,Monday,35,4.38,45.8,low
2024-01-01 02:00:00,Aurangabad,highway,2,Monday,100,3.33,101.1,low
2024-01-01 02:00:00,Aurangabad,arterial,2,Monday,96,4.8,59.6,low
2024-01-01 02:00:00,Aurangabad,commercial,2,Monday,59,4.92,37.7,low
2024-01-01 02:00:00,Aurangabad,residential,2,Monday,19,2.38,47.7,low
2024-01-01 02:00:00,Mumbai,highway,2,Monday,110,3.67,101.2,low
2024-01-01 02:00:00,Mumbai,arterial,2,Monday,122,6.1,59.8,low
2024-01-01 02:00:00,Mumbai,commercial,2,Monday,74,6.17,38.0,low
2024-01-01 02:00:00,Mumbai,residential,2,Monday,20,2.5,49.2,low
